go_id,external_gene_name,namespace_1003
GO:0005524,CSNK1E,molecular_function
GO:0006468,CSNK1E,biological_process
GO:0004672,CSNK1E,molecular_function
GO:0003723,CSNK1E,molecular_function
GO:0005634,CSNK1E,cellular_component
GO:0005737,CSNK1E,cellular_component
GO:0000166,CSNK1E,molecular_function
GO:0004674,CSNK1E,molecular_function
GO:0016301,CSNK1E,molecular_function
GO:0016740,CSNK1E,molecular_function
GO:0106310,CSNK1E,molecular_function
GO:0106311,CSNK1E,molecular_function
GO:0016310,CSNK1E,biological_process
GO:0005515,CSNK1E,molecular_function
GO:0048511,CSNK1E,biological_process
GO:0032922,CSNK1E,biological_process
GO:0005654,CSNK1E,cellular_component
GO:0005829,CSNK1E,cellular_component
GO:0000086,CSNK1E,biological_process
GO:0010389,CSNK1E,biological_process
GO:0097711,CSNK1E,biological_process
GO:0018105,CSNK1E,biological_process
GO:0007165,CSNK1E,biological_process
GO:0006897,CSNK1E,biological_process
GO:0060070,CSNK1E,biological_process
GO:0042752,CSNK1E,biological_process
GO:1903827,CSNK1E,biological_process
GO:0006281,CSNK1E,biological_process
GO:0090263,CSNK1E,biological_process
GO:0032436,CSNK1E,biological_process
GO:0032091,CSNK1E,biological_process
GO:1905426,CSNK1E,biological_process
GO:2000052,CSNK1E,biological_process
GO:0016055,CSNK1E,biological_process
,CSNK1E,
GO:0016020,CSNK1E,cellular_component
GO:0016021,CSNK1E,cellular_component
,RBX1,
GO:0008270,RBX1,molecular_function
GO:0005634,RBX1,cellular_component
GO:0005737,RBX1,cellular_component
GO:0046872,RBX1,molecular_function
GO:0016740,RBX1,molecular_function
GO:0005654,RBX1,cellular_component
GO:0016567,RBX1,biological_process
GO:0005829,RBX1,cellular_component
GO:0018215,RBX1,biological_process
GO:0006281,RBX1,biological_process
GO:0006974,RBX1,biological_process
GO:0005515,RBX1,molecular_function
GO:0016032,RBX1,biological_process
GO:0004842,RBX1,molecular_function
GO:0043161,RBX1,biological_process
GO:0006511,RBX1,biological_process
GO:0070936,RBX1,biological_process
GO:0061630,RBX1,molecular_function
GO:0000165,RBX1,biological_process
GO:0000209,RBX1,biological_process
GO:0010972,RBX1,biological_process
GO:0031146,RBX1,biological_process
GO:0043687,RBX1,biological_process
GO:0061418,RBX1,biological_process
GO:0070498,RBX1,biological_process
GO:0090090,RBX1,biological_process
GO:0031463,RBX1,cellular_component
GO:0031625,RBX1,molecular_function
GO:0097602,RBX1,molecular_function
GO:0019005,RBX1,cellular_component
GO:0045116,RBX1,biological_process
GO:0008134,RBX1,molecular_function
GO:0016055,RBX1,biological_process
GO:0006283,RBX1,biological_process
GO:0006513,RBX1,biological_process
GO:0032436,RBX1,biological_process
GO:0042769,RBX1,biological_process
GO:0031466,RBX1,cellular_component
GO:0006293,RBX1,biological_process
GO:0006295,RBX1,biological_process
GO:0006296,RBX1,biological_process
GO:0033683,RBX1,biological_process
GO:0070911,RBX1,biological_process
GO:0000715,RBX1,biological_process
GO:0000717,RBX1,biological_process
GO:0006294,RBX1,biological_process
GO:0034450,RBX1,molecular_function
GO:0044877,RBX1,molecular_function
GO:0061663,RBX1,molecular_function
GO:0010265,RBX1,biological_process
GO:0030163,RBX1,biological_process
GO:1902499,RBX1,biological_process
GO:0030891,RBX1,cellular_component
GO:0031461,RBX1,cellular_component
GO:0031462,RBX1,cellular_component
GO:0031464,RBX1,cellular_component
GO:0031465,RBX1,cellular_component
GO:0031467,RBX1,cellular_component
GO:0003677,LIG4,molecular_function
GO:0005524,LIG4,molecular_function
GO:0003910,LIG4,molecular_function
GO:0006281,LIG4,biological_process
GO:0006310,LIG4,biological_process
GO:0071897,LIG4,biological_process
GO:0003909,LIG4,molecular_function
GO:0051103,LIG4,biological_process
GO:0005634,LIG4,cellular_component
GO:0046872,LIG4,molecular_function
GO:0000166,LIG4,molecular_function
GO:0005654,LIG4,cellular_component
GO:0051301,LIG4,biological_process
GO:0006974,LIG4,biological_process
GO:0016874,LIG4,molecular_function
GO:0005515,LIG4,molecular_function
GO:0007049,LIG4,biological_process
GO:0006260,LIG4,biological_process
GO:0036464,LIG4,cellular_component
GO:0006302,LIG4,biological_process
GO:0050769,LIG4,biological_process
GO:0000781,LIG4,cellular_component
GO:0008022,LIG4,molecular_function
GO:0043524,LIG4,biological_process
GO:0010332,LIG4,biological_process
GO:0006303,LIG4,biological_process
GO:0051402,LIG4,biological_process
GO:0001701,LIG4,biological_process
GO:0048146,LIG4,biological_process
GO:0071479,LIG4,biological_process
GO:0008283,LIG4,biological_process
GO:0000793,LIG4,cellular_component
GO:0075713,LIG4,biological_process
GO:0045190,LIG4,biological_process
GO:0007417,LIG4,biological_process
GO:0051276,LIG4,biological_process
GO:0033151,LIG4,biological_process
GO:0000012,LIG4,biological_process
GO:0006266,LIG4,biological_process
GO:0097680,LIG4,biological_process
GO:0070419,LIG4,cellular_component
GO:0033077,LIG4,biological_process
GO:0033152,LIG4,biological_process
GO:0006297,LIG4,biological_process
GO:0002328,LIG4,biological_process
GO:0035019,LIG4,biological_process
GO:0010165,LIG4,biological_process
GO:0033153,LIG4,biological_process
GO:0051102,LIG4,biological_process
GO:2001252,LIG4,biological_process
GO:0005958,LIG4,cellular_component
GO:0032807,LIG4,cellular_component
GO:0010212,LIG4,biological_process
GO:0071285,LIG4,biological_process
GO:0003723,ASCC1,molecular_function
GO:0003676,ASCC1,molecular_function
GO:0005634,ASCC1,cellular_component
GO:0016607,ASCC1,cellular_component
GO:0006281,ASCC1,biological_process
GO:0006974,ASCC1,biological_process
GO:0005515,ASCC1,molecular_function
GO:0005654,ASCC1,cellular_component
GO:0005667,ASCC1,cellular_component
GO:0031594,ASCC1,cellular_component
GO:0006307,ASCC1,biological_process
GO:0006355,ASCC1,biological_process
,ASCC1,
GO:0003677,POLR2E,molecular_function
GO:0003899,POLR2E,molecular_function
GO:0006351,POLR2E,biological_process
GO:0005634,POLR2E,cellular_component
GO:0005654,POLR2E,cellular_component
GO:0005515,POLR2E,molecular_function
GO:0016032,POLR2E,biological_process
GO:0005666,POLR2E,cellular_component
GO:0005829,POLR2E,cellular_component
GO:0006366,POLR2E,biological_process
GO:0060964,POLR2E,biological_process
GO:0045815,POLR2E,biological_process
GO:0006368,POLR2E,biological_process
GO:0006370,POLR2E,biological_process
GO:0050434,POLR2E,biological_process
GO:0006367,POLR2E,biological_process
GO:0042795,POLR2E,biological_process
GO:0032481,POLR2E,biological_process
GO:0000398,POLR2E,biological_process
GO:0006361,POLR2E,biological_process
GO:0006363,POLR2E,biological_process
GO:0005736,POLR2E,cellular_component
GO:0006283,POLR2E,biological_process
GO:0008543,POLR2E,biological_process
GO:0016070,POLR2E,biological_process
GO:0048239,POLR2E,biological_process
GO:0005665,POLR2E,cellular_component
,POLR2E,
GO:0003682,GTF2H1,molecular_function
GO:0005524,CDK1,molecular_function
GO:0006468,CDK1,biological_process
GO:0004672,CDK1,molecular_function
GO:0000166,CDK1,molecular_function
GO:0004674,CDK1,molecular_function
,CDK1,
GO:0005634,CDK1,cellular_component
GO:0005737,CDK1,cellular_component
GO:0016020,CDK1,cellular_component
GO:0016301,CDK1,molecular_function
GO:0016740,CDK1,molecular_function
GO:0106310,CDK1,molecular_function
GO:0106311,CDK1,molecular_function
GO:0016310,CDK1,biological_process
GO:0043066,CDK1,biological_process
GO:0005654,CDK1,cellular_component
GO:0005829,CDK1,cellular_component
GO:0006915,CDK1,biological_process
GO:0005739,CDK1,cellular_component
GO:0005856,CDK1,cellular_component
GO:0051301,CDK1,biological_process
GO:0016572,CDK1,biological_process
GO:0006281,CDK1,biological_process
GO:0005515,CDK1,molecular_function
GO:0007049,CDK1,biological_process
GO:0016032,CDK1,biological_process
GO:0006260,CDK1,biological_process
GO:0048511,CDK1,biological_process
GO:0005815,CDK1,cellular_component
GO:0005819,CDK1,cellular_component
GO:0030496,CDK1,cellular_component
GO:0046718,CDK1,biological_process
GO:0005813,CDK1,cellular_component
